keys,word1,word2,Tweets
"""el red""",el,red, el red velvet bt3to to7fa awy 🥰🥰
"""el red""",el,red, ahes shwai sexy el red
"""el red""",el,red,el red lipstick de  es top
"""el red""",el,red,          el red dead redamption 2
"""el red""",el,red,el red dead redemption 2 
"""el red""",el,red, el red bull
"""el red""",el,red, el red dead redemption 2 
"""el red""",el,red,compro el red read redemption 2?
"""el red""",el,red, en el red wine
"""el red""",el,red, el red scorpion   
"""el red""",el,red,  el red bull *
"""el red""",el,red,me compro el red dead redemption???
"""el red""",el,red, el red dead redemption
"""el red""",el,red, el red dead redemption 2 we
"""el red""",el,red,ana hakhod el red flags el gama3thom dol w amshy
"""el red""",el,red,grandpa joe accidentally clicko el red botono... 
"""el red""",el,red,  el red set?
"""el red""",el,red, como el red bull y jagger
"""el red""",el,red, el red bull🥵
"""el red""",el,red," el red bull de 2011,2012,2013 "
"""el red""",el,red,el red hair   # 
"""el red""",el,red, ya benty el red flag aho
"""el red""",el,red,someone's wesding ehh ana 3wzq amshy byh el red carpet 
"""el red""",el,red,  bafdal awa2a3laha el red bull wel straw kol marra
"""el red""",el,red, comprese el red dead redemption 1 bv
"""el red""",el,red,  el red dead redeption 2
"""el red""",el,red,grandpa joe accidentally clicko el red botono...  via 
"""el red""",el,red,el red dead redemption 2 gratis en ps now.  de nada.
"""el red""",el,red,y el red dead redemption 2
"""el red""",el,red,  en fin  el red flags 
"""el red""",el,red,howa ana leh m7shora f taree2 el red flags?
"""el red""",el,red, el red lipstick de  🤭
"""el red""",el,red, kaman showya ha2olko lazem n-normalize el red flags🤌
"""el red""",el,red,el red tour 2.0 yasss   
"""el red""",el,red,por fin el dlc en el red dead online 
"""el red""",el,red,"   la saga borderlands, el red dead redemption 1 y 2, la saga dead space y el dragon's dogma."
"""el red""",el,red,el birth chart es el red flag. 
"""el red""",el,red,"spa, suzuka y austria  por ser el red bulls ring  "
"""el red""",el,red, el red bull se inglaterra
"""el red""",el,red, es por el red taylors version
